msno,city,bd,gender,registered_via,registration_init_time
SpiCVwYrNY2XIpPpZkHHq4LDTfYyPNxBx7e+klc19H4=,15,22,female,9,20110925
+N2Na8js4BYLhkDXYD94o/5Tn5j1yi9u/+6F8an1MUs=,4,23,male,9,20110925
F6F2FJSHqQ/TLf7fQHJe1nbonEZmrCHtzG87U8VD9rE=,11,22,female,9,20110925
FotY8kXSC6tIyCuVn0NoaXjo0Hd854wuoNMWuwHaLIA=,5,29,male,9,20110926
glvtik6LgKzz/VHI8f7dAAHW4iqU8azER8mEsImDe78=,9,21,male,9,20110926
x+j0IrKnXLIqZawwAtwldq2by7TLMKyohbtSeT5gtDg=,9,22,male,9,20110926
7XXoaLnR+58yBjV/dtpvsvnkbadWYxO3+KkLgaaJ0VM=,5,28,male,7,20110927
GqYHRxlZChiZvB1uzR410wcQzuxqZNZci4AzOTzkAao=,5,27,male,9,20110927
vqz848bjeylg9nGoax8X4qQX2IX8qPwEq+4vbOpgy4c=,13,47,female,7,20110928
ZXtW2HuuVK4aPiO10RhBWT1PmLV+bKqnFlT5bL6YhoQ=,4,0,,9,20110928
qRUnTIEIOU70qVRjrqV9kmp8NmiKcuWKuHcvbV5Hgvs=,5,34,male,9,20110928
Z6WIOK9vXy+e2XDBiioNAxuZ0ScXSU/Ebq4tUwqVSrE=,22,38,female,9,20110929
BvmcS7e/M1+dAXapzH/ze8LxbdY+FV/v82vUvp3smOc=,14,30,male,9,20110930
BVbyThi0+EcLz1vM5oK+oDubZDQ4P6OAQqV5kDub3+A=,4,31,male,9,20111001
ATvHpah6ryn3yubmGZIxakYDFXa40ZBvouideMm+3EI=,5,36,female,9,20111001
PytoSP34NteOlJ1jUZWLfzUCZuVxJgBlZ4hC/ggEhss=,1,0,male,7,20111002
HLthcFr7gfJaH3BWCe3Y8Rzkn35g6MrjQ0JVPPwqrOc=,6,26,female,9,20111004
den0Kb2s4BV47zV+tSC1u0W07M7BOMq+fnrGj+9ax0I=,14,26,female,9,20111005
i4kmzPli+nl4XagzznO+oCcPeXfjcLSKIn8xE9oGU5E=,4,58,male,9,20111006
XmV2kHCnqnQf4oTJ4LCS7F02cpxnzqGIDDRGHe4dw8c=,22,31,female,9,20111006
kCe9c7EAz6+ILhukNbyQ7QnATImCBAM5EClCYln1t+Y=,4,43,female,9,20111006
i3rM6cvgxhpWoRUyWpPHMYNmAGvyt6V+kiTL6KAkrLk=,5,36,male,9,20111008
Xu8NWVApL13fqXD8N1vGafCLxVSw/FSOgUaJo5EdehM=,13,0,,7,20111008
mcultqpt4jx8RZyTffrPLdVz5EHp/1StLyzAaJz7wI4=,4,33,female,9,20111008
Mbo6fZW12wtpuWILrNSiZszTc71Xj/kZ749chrXArAQ=,13,0,,9,20111008
RA5kFIcw5aItrnKLvNc3GNcU+tWYlCPXzI1UpT16oFk=,1,0,,9,20111009
hYG4uW0hGiNIPblEpvkBWJdQ05Y3X1lINdYBqK5jBc8=,11,19,male,9,20111009
75A0yqLXt/ZZ+DY30gjRr/mJG8rDOexVswfVw1dVbt0=,15,21,male,9,20111010
wrX9H4DCVEdjzgUerZQLmOqdETgcO4gwb5SYdWUrEqo=,15,31,female,9,20111010
0oNjf4wD4O2p3Epo2cNmHzkyRpe1kqnjTEE4SIUtlUY=,4,28,male,9,20111012
tlGR5F/+vDFsnQme+KnvXKsCh3y31I1/dBaGuHDfdII=,5,39,female,7,20111012
JTV4R7YuiLDcRUE6pGwYRsXrbVGudErtEaY9IUeBV+E=,12,31,male,9,20111012
gVW9O1DA4x79cOpHwbdUJQzxHmGOy1Fgk5YzGCwPOXw=,22,24,male,9,20111012
1aMGSauvi/8+ERbGqIpBrL0tUWx7TmK3+TEAP1+1npg=,1,0,,9,20111012
IskrDwZywYJkdXY8cMbbmMdEC5c0VLrwKDyhexbZ1DQ=,6,33,female,9,20111013
FUhKSrJoIzqN3Sdu8ddFDdDVS4nFVqoQeXf8QNuqTKQ=,6,26,male,9,20111013
9Ebkk8c69slEG4FQ9KMgOMbt+VXo+RbPJat1QVou91M=,22,31,male,9,20111014
jn/lbZ3oyU0QhViguMecdTZbmG49VQp3C8H3DXI70to=,5,24,male,9,20111014
lYrf6Y/NjJ8yDGp51Nb537ZZ3bjy2ZmvjCE6Qgj53NM=,1,0,,7,20111015
kS+GS/0OJasgUQAUeJHKNkKLNHAV3hmUTwzdb9AhNvw=,15,31,male,9,20111015
HCR+p+GCKbPDSS8QKL9K+8sBD8GuPUYlhToI1zjoXmE=,6,24,female,9,20111015
tKHEXKFbtuiOwNt0vPeRay19HgnMprSWSDgJR+b1Z1o=,1,0,,9,20111015
RNHUoAhuRtLvfb/rMzkQebOfLcYOQqFCYfdnLNb50vg=,22,33,female,7,20111016
yqziftoG8RSHG2+LZ9sh1xuTRhp1K31p0SlUUUBshWI=,13,27,male,9,20111016
yOja2LWW7wBIhNZkKTBP+dgJVpnn3F9oKH/L4cxKjoM=,4,0,,9,20111019
7rq890KZ51gQwJo13Iuk+PpLvxghhvPt/zJNc3OBAY4=,1,0,,7,20111020
l9/TztyVMdMuI4teeJcVUN7w0wLh3Trsbok/Vcw0c8g=,1,0,,7,20111020
ZfuTl44N7QaaRTqWfAIaSs+zP4ADHw3GBgQxGKk8tRc=,13,30,male,9,20111020
STXWC0VvMgKZRWGdd4rv1dmwlcUFjvW4vHqo00YWZfg=,5,27,male,9,20111020
+hZsaSBwOI2DqLPouJSRuEzJFjT9rVWw45lqVxY4z9U=,8,39,male,9,20111020
uuyNMetrv/wv1VUUlOgtyUGYpTLNuqY1EHlJArAVBDg=,13,26,male,9,20111021
Jul8xeVqsOHp2dFxcL3kN6jyLN8Xv36jDlctKTOrnHs=,1,0,,7,20111022
m0h0+lJIok7k6BzAoOnq+x+mB1tbi9shGF/egYLbed4=,4,22,female,7,20141020
JgUwqcO2z0Ch5s55C0CqkfygafvZwN9OHR3j6Ov15P0=,5,29,male,3,20141020
7oCpSPj4+SdVJLfDRc+tN5HLp2R1DRozaWsTpbLTz5g=,15,21,female,3,20141020
KQkQRc5i/Q+WcER5YwwbKhUI9SkTJ+/9y7MJ3Mqi9n0=,1,0,,7,20141020
MlaX4kWsUYNY9Th8s6URncLF2xI8Pi8c4Vzm30G6hSM=,1,20,female,3,20141020
AJr8Qu7DW5wA0K7mzK22ExfVEYktFXz6hSZwRHw/sAc=,1,0,,9,20141020
U1jqmZsVL5rqrjIKJ37zUq2BUfTNILyjZbJMOr4Fwnk=,4,19,female,3,20141020
vq6QEr8cRxpvD6YIXNuD9t5iimLHzrw7z3ksqvD+V0o=,18,23,female,3,20141020
5Z3x/zwtjVXes7jJlAIEE4GVlcXDEqcN0gYNyPUyVOk=,1,0,,9,20141020
v1iT30fIOLpD8PhDe6vld2bxt4NMBzP5aeMhQRFXqu0=,9,25,female,3,20141021
aaMQIxJxClV8XgPtB6K4DQ+tENwuliI+77RUwtdwS7k=,1,0,,9,20141021
BwIo7fCcYAwxyyMhvAm9Rk9zNXC0ju+6m3d5xAJlplI=,13,26,male,3,20141021
AY8p9k8xDzdnlS/G79Py91YeYVvx8cvGoI9+DO+bnhc=,1,0,,9,20141021
A/O83I0bnt5lGEIF5akQjPDr+Iv3fGq+r367mNFQrjU=,1,41,female,3,20141021
vWYxNeXA8NwsiQQr7Beq5XQgCcj0y9N0YxEN2A2iqxI=,1,0,,9,20141021
st9EcLHGmoOKhcfO+9GjnGqL+CyuBBumtnXE6raQf0E=,5,19,female,3,20141021
m2FN3rp3Xu5JYDLjzrhrydz8/Cy/4OdqpqDZ/ONlEVM=,5,20,female,3,20141021
h4fePRcBK//RR4sRYuZvQEKM0kKPoSq6EZdrbnzvxBA=,5,17,female,3,20141021
TeglEjwy9p5IfoDLj8uLMv/cuDMI6qR6HHEjl5GTVGU=,4,17,female,3,20141021
wwYYE3vTfVwruJU3Exwt98D1DdZeWsVpkIKe6JTrXuY=,5,0,male,3,20141021
G6n/HWLu6rZRKatgvsWm97YqaEcYxrsFlTuLx04aIpw=,1,43,female,7,20141021
mzLr8HrZjwpM0A0bLSTo5vFE1V3xL4CI0+DR/AUGnWc=,4,33,male,3,20141021
bPHi7VPQkMtdeIqJAktzYSITpRSt9F9mCdhddPTSlOY=,15,17,female,3,20141021
0iYUlw2kAvT9XpcmgVhLgdAvsSmyc6okIkeAmeHcsSk=,14,32,male,3,20141021
Sh444sAARvVfpNQx6y3F2TFNnGixH3mOTJQy5N7p+Lw=,5,41,male,3,20141021
+zs+1G87PFI6/GGDHRZirqUwuqWwxHfbYXCDp6JASIA=,5,20,male,3,20141021
sLRPEqz+468O/zZVY91CwsUCIA7TYQHLgp2rrbg5yEA=,1,43,male,3,20141022
LKrB8BJyKStg3Wz7wM4RVpjFJQAO4og1TTM/zL/1oGo=,1,0,,7,20141022
qPA+AINeIlmeDCGIq47JM3opH6O1Wm8L7asYpJI/0bw=,1,0,male,3,20141022
doiyPIkLqqtz5AVQQubWQR/fX2Hb8E2V7vNuQICEK2s=,1,29,male,3,20141022
xSdPP3RPtODWiIa1ZA0wbTiGeH7HVeXOvgrfRkREb1E=,13,23,female,9,20141022
yGS/DiK477lKlAFplouR5afkQXNTEBVeQvq8D9ZDHgw=,22,24,male,3,20141022
4PLMuOHElfEQtmb/tAlb5YKFT8edAyL0rp+mGjp4O9s=,1,0,,9,20141022
y8YQI6LtNFB6339f+/2jFeDaMjUBLSp0bbE6lcEgcFs=,5,54,female,3,20141022
IwHdgEMdE9d7M5Ys2q6vomC54VfpSyv+d5WrRD7a59A=,5,20,male,3,20141022
P7dxMnZCAxp9JvaWtgQ8M8VghNKSLMA+Na0ITfWtMbU=,15,19,male,3,20141022
wtekpcjJzxYyIREbUth2dQyZwlKo+kOSCvyX04vtpfQ=,1,0,,9,20141022
ToOhgjnAzWDAXuLJ8S6PRp7R6douI5Pa9tXYIulIIq8=,15,0,,9,20141022
EthBNazoRnRHHVUQrksf3Xn5/fvt7d6sxwQ9y5Pq5xs=,15,23,female,3,20141023
BC70526HlvduKcRNjVwBlo0l5zsfLQDNBUOaQir/qEU=,1,0,,9,20141023
/KFSyUgfLaovVKlfn1s7rHVVFLFgj3s0yiI9KUopF2s=,4,40,male,7,20141023
hBBp8nLpc76eh5qng5zZ3hhsQzQhJWxNDDqECBuvMQM=,1,0,male,3,20141023
0zxNh+Rv5FrQOue8JcFlE04eSjMIcsEdxnK9pgwH4wE=,5,0,male,3,20141023
nv5dJzjDQjzpX1jiw9y4dF5vJ1w5dwj/BWN24y1Qudc=,21,20,female,3,20141023
Ac4AR0iaCFqs4w/ZzKgfKDhKzJMpAXjWhSy8qDVGUGw=,13,27,male,7,20141023
96AcnuRHwL96ypzWXIXEe22gbyStOsd6dp0HVqoSbs4=,1,0,,9,20141023
Td7EBPs4fhVGzhom5XaScjckZbRRS7a1NRHhYvWDLxU=,1,45,male,3,20141023
MNnh6KGwEiGsIxZPCxOoYG2CIXgu4S0ludxOFoEFDFs=,1,0,,9,20141023
Gib9YQkwjylO8vdAFcklet5jRF2S4nEL7LEpdOI8nVU=,1,0,male,3,20141024
jogP/zrAnPA1DQXAGGkh/1xGS0PiBnH3r/x4lgnUrLQ=,1,0,,7,20141024
EdOua0e185bMfgLjbLmjq7vDGARVmiMn8lwXPpYk5DM=,1,0,,9,20141024
2vR7L1Sz16kv/+TuFnzR/O4gyihNKAIohT4OjM9azzo=,14,17,female,3,20141024
o+U+esET47Bq3NXdR3swOV8coth3Em0iRTs4uZ790xU=,18,34,male,3,20141024
/8hdn1/g104Sz9Nevw1Bdkpnftcac/KG1KP9GLRiH64=,1,0,,9,20141024
r6gi3GUwMMq4mbLjbX0HwNz0kQwLA27cORdOwGSB/6s=,18,19,male,3,20141024
++aIYtQKnGN0FEqBrVDQWloWMHiP6TIUN2wBcrwMniE=,5,40,male,3,20141024
/ydx2qK1cyZQ3dryQJzntNLvyBAMZO7M4hcuuGMeXeA=,1,0,,9,20141024
5OfFsSwN4Os1lahhgJND+rKpQw1rgVFBkQrYQg6gd5Q=,22,40,female,3,20141024
XQ/VOCwiOi/TYXvoMvJd1EVf8QH6nRihV8kIFSWwd7o=,5,21,female,3,20141024
gpy4Vf5hlGtWBZ7EVnh8bL+DmM65+rOXi/Bz18C+MSU=,1,0,,9,20141024
neSQXw3uLgdc6NsjpgOhNEF6nyZh93h9POyiaKAaxhU=,1,0,female,3,20141025
wKwUnCENPVqeaMaf+MDhanBi8jJDY/sdJ8wy7bXldJU=,1,0,female,3,20141025
J7pcnRRVSpGWmvqzIMWWF55rOJhs5z+Xdwi590ehccE=,15,27,male,3,20141025
avZ+u7BlTjbJDA0SJtASaUO7OFCjpyhKgMbIPa6Qjho=,1,0,male,3,20141025
bxeJCVDyGzTHHa+zH5NfyFSDB5M065bJNfOtES59uXI=,1,0,,9,20141025
eIOUZ5I+NV/3EDfn/U/tMepn4FJt2SdzOrWGH1tNlYI=,5,24,male,3,20141025
xN1Li27XaFq2lA2fl+jzlG7MyqBFWls/N64zGhIh3zA=,22,18,male,3,20141025
0WFRFEQ3rmZKEMv4PiqlMn9HIPUSxiYNw0m8D9UBJy8=,4,23,female,3,20141025
TpFXcQXbaTCwXMIeE7xfclWQs2Fuup1U0g6+GAZotS8=,3,28,male,9,20141025
5GglwDCQMCwzTpxKnqug6yg28y+aMBnlcOUHkQN1tiE=,4,18,female,3,20141025
N0KYg2zjspLUQmWs4SsvFipkMcFPvPDx83bheHuddIg=,1,0,,9,20141025
XymtNuOo3qE2RQVuK2mR5VsO/Cpqd2d6IWe7SxgeYBg=,1,27,,9,20141025
Im0nb2Srx5CmArBwcMTT5rpe8+wrqD6ze00lQTOkC/I=,1,0,,7,20141025
i3o2WN7ytDGEWHm3wqRCnuamKBtbZYuVwBXmu6VRCLQ=,5,40,female,3,20141025
EhWG6BxDwEKmeYrTZocRYT6JkVhMmhGgQwUxg5NfO3c=,5,19,female,3,20141025
n2crXURZzq/j1Yk6DbXaJstIxpqrNXGaHRXun6uR65k=,12,52,female,3,20141025
KCo+KYTbJDO+ue8+J0TT2AvlpMTTsqLbt7UmqEW/8aY=,1,56,female,3,20141025
LZYQLbUkWr0d6RcLvk7wGM4+gsqKt2B1wGKlO/HpTGE=,5,50,male,3,20141025
DcsEUiNluuWJpgE0xsqViKaWEVG3Phw6GEidDO7WTa0=,4,35,female,3,20141025
UfwgBedFQzPhGoJWq9QjTJxD/PrWFHm1cjhJgrcdAGo=,15,42,male,3,20141025
UiFipzdkyBe5nvgq62SBuJbRZFDlg9PFK4Kr5URS4es=,1,43,male,3,20141025
LEG5qhZb061+6hUw70wFGSxfm2avNBq8RC4L8F6RNlE=,1,0,female,3,20141025
tMVee2sXOjYy5LV5o3JVvvFYl+U2fsSsRVg1GGSsaK8=,8,19,female,3,20141025
ifhtKVlip7lupH7hIDn8jGnRHRIDRFVd8tQrJ3DUQDI=,1,0,,9,20141025
tYOv1zaBLTC0vS7M3aQW7xsNwFXmMlDZNJs8C34kptc=,1,38,female,3,20141025
QEVcOzFGGcAIssKyD3cEfqzN4jVgssxITGe2bfS+xpU=,1,0,,9,20141025
OWtvJJeRMvZw3/S11RhDmdpXGWhgw+FjcTOeKbxy7do=,1,0,,9,20141025
rXjxKlzhfZP3f/8yjf7JawlnSZR8hWr3U6+9iHpCF7U=,1,0,,9,20141025
0Nx5lsYmOnC7jeIoI+IccOE/8xBEASpLVQfYiHmjuds=,5,49,female,3,20141026
0Bw7C0hTF/922Gvy92XQ7A5s8OXNa05TkkF2d1N06nU=,9,29,male,9,20141026
AC3swUts1UEYLoktncncdB0kr/eKakBV/mhhb+HH0dU=,1,0,,9,20141026
BIm9upkHEJhjZZ+7C9mpsaZeOElKdS2+CDyZbjzVWcE=,6,44,female,3,20141026
jGXO/6mfETN87vDMdGlmd7S1+tZ/DFVGac6uBilj8iY=,1,20,male,3,20141026
Uc6U4vUApMvVPhdCcOX/bk8Q61bUwHqdmZRpkEuSn6k=,1,45,female,3,20141026
G1FGub9b/CyFhj7/yhyPIHtyw4/B8zktCu/EWmIu/Z4=,1,0,,9,20141026
XknOlb9Wz6zl9oVjHgf0OzT1MLIYXf2bOlOTSF2n5m0=,5,0,female,3,20141026
89jV9xjqkSHYmV388dngB0EOru43JazC1VgqSWvOT4s=,6,33,male,3,20141026
nCBx9AdN3K+sWkp3hZTS9jRTYB0o4rAsX6lmgKYjc9I=,5,47,male,3,20141026
unih/8ZD0xONbe67BnPR27EiVipj6WpjGGm3HTep9kw=,1,0,,9,20141026
KrM1hdPsLDCdrlZ+y0EOEUB8PSBDxLjeP1zZU8sbLHQ=,1,23,male,3,20141026
mia/CWltNtSopJSh5+J5rNjiqlQ8O92BTN+U+3wcNIM=,1,0,,7,20141026
CUvo3eH73xygf2vmXpzeIc6LivoqHlJWl33jzJAN16E=,12,48,male,7,20141026
TIsGnrh3p1CdygqFkcRYruYLdyB9R341B0VcOkM/v3A=,1,27,male,3,20141026
ejHTzyaLBpvIp/DBACN+qPe8mRFe+epWQXETSdXgOYM=,5,29,female,3,20141026
JmJUbYP9CF5a54LL8lDu1fn+zlMOYW5+52DaPZKFsY8=,18,18,female,3,20141026
FREDrIp4SeKAnMHwkiR35UAhGQkgqXP9xd6Wp5szRHE=,12,0,male,3,20141026
lxtNF22UlXCQ2i1hdGr/AcnbWQUmBTPilFKCcjwPpT4=,1,44,male,3,20141026
A6yazC08r09WMdxdVixjrWsaX9JKoKnTyPOP8GrIgQA=,4,33,male,9,20141026
DxXIUq4/j75I7gQjSKnGMs76dnCFlw91uUgei2ebymA=,5,28,female,3,20141026
WlafBY9mJCRMtwIMmycseKshG7+2z4dqd8E15kQb+eU=,15,34,male,3,20141026
K9KcDgWo/SvtVSfrkUiOFH+ncri+5d/467OZeEo075k=,1,25,male,3,20141026
CXaVxtFCT51mq07xJQtIUcrigNhqHNeup4762pBZ/Ls=,1,39,male,3,20141026
r5vUKgqXYxD62Q6YoNbE+QrQlQvbfOtN6HG2T6qsfIA=,1,0,,9,20141026
ytFLc8aoTsn2IqmDbJAjTVjUwKOGhhvief4ECb8w/fc=,15,23,female,3,20141026
20/rbekkImGISaAQ0ds1J3UdmRRfkGG4jNscN+l4ubI=,1,0,male,3,20141026
hHDYTtOIV0PyahQwxpAKlqOdIS3yE7ikbmj/Q+nbthU=,5,44,male,3,20141026
rfRIfohiDPl+45b/U18yoSh4BxyzUgfzIN37HJx6uwA=,15,33,female,3,20141026
8dQwrAxFDoZnf/RB2n1fJumtBr5SA+a2KrRI0Z/x7t4=,5,21,female,3,20141026
lSMAekPFHURsUoCfmbTSq4e3u+lGa3tQE2A3oBi9qag=,5,0,female,3,20141027
NePO8x33w2Uz+3O+YIje1rig1vBEomR4Ft1WvvXcxSk=,13,28,male,3,20141027
ecIEeBC8Igp9ypq7G2V5yCwy0bcV49Np0OLgT1FHr6k=,1,43,female,3,20141027
h9ziXAH5qDu8V7+QW6xPe3p+1rStXLFYwWkdxEGdTRg=,6,38,female,3,20141027
v1zbj7FPW8DLyi16vhzf0NKfrH161lu8+LaxeA3f7m4=,22,24,female,3,20141027
xcrDTK4IQbTk97BeYKqOdFDYmYIKX4RG1HeKgLjxJ8M=,1,18,female,3,20141027
8kM1rf4nPrdkHs4Nix6/I3lGkv54ozw4HP9rrZ18oJk=,4,20,female,3,20141027
E3r1RAHnv64hqO61l20ulUnDaCgEOhcDLthgthCaUSw=,1,0,,9,20141027
/atddZ8XnL31Yp0lSWfzlNzsAeoXOqBkyLR2Mahc0dY=,3,57,male,3,20141027
CdMHY5YdazFEGuQHv01mFNWp8EpOJqzh4oJvzqcsg8A=,5,0,female,3,20141027
5WUCXp5BaIU3KdBIYdAxsYShD5knZJJXTk/WHnNZsAc=,22,41,female,3,20141027
Em0KIsAsueXTRfCQcYQWbFMc0Ac7wmITTPEJQ4NWAPc=,1,0,,9,20141027
Q5MPmdpkRDrQ9o1IctUkKhxWzGv7fe2tO+Ps26hQ7To=,22,39,male,3,20141027
ajQA9rxFDiUBuj2pLfCo/SsHdwXvwvu2KI1yPNwmEN0=,1,0,,9,20141028
5farOKTjlgUbUik2AYxtOKqKTpFisStrX/pVO7Zq3Vk=,3,27,male,3,20141028
QzyX6ufzLhmGeiE0cyytk0lC13hQp45q4BOVUL+zpTI=,13,29,,9,20141028
H2krazh0OiXpumcEoOzVMq8UjLTke2sFWE6oHVcqX6k=,1,21,female,3,20141028
gRhJmNTVgHNU3h0anqog1swCYZ4SWRMquPjJY3SSvx8=,5,37,male,9,20141028
Tgi8TKnehkZ7Qa9ERj7XhdNYc6JjMFuYbxQ25TtNtUI=,5,43,female,3,20141028
N7uaUOQZluljayaBuqpEv70Uxavd9H1rRWhyYSWEalI=,6,18,female,3,20141028
40vDM8AOWchfJbtBjiMPFiGKRal9JMy1juPXe8KRyGM=,1,0,female,3,20141028
u05b27BhTPzuCEs+64NV3vntjEFXnxXpasJoTYZiPVM=,1,51,male,3,20141028
pMfjxGgWp9fqtWWf1Fj6UCHKXnnIeOeMWMBvQdy+CXk=,1,0,,9,20141028
XoLUbOxFe++5T/5sZScxzDrLymZma29yI3kzSLBu9Nw=,1,24,male,3,20141028
svfFmfb0WlwaMFIpSMyB1rqUvTpmDE2GnjkVM9XUx54=,12,33,male,9,20141028
SjmuuKvR7KpQjOmdY5NiAY+c3QJCz3n7pFuToiQgUGc=,1,60,female,3,20141029
UzcVfe39iMUoPL0fNZHvyhNKcPq0+ID1jEYiT3FCSiw=,18,34,male,3,20141029
uBypTrvKL0BFQ5Oaqo76aWutcUI0Jukf10oYMND/C84=,1,0,,9,20141029
xlI2l3fdCBJm/mmVKoKwBs8hHWfJOU7TNsz3Sfnpztw=,5,21,female,3,20141029
1/+uvYlaDNu8iSCjJGWnSEMTGUzfHGN5/oVbu0EolV0=,5,48,female,3,20141029
5kj1zzSISd3ugbxchjXnrz/H1tw7MXnWV/g3+Kqixfg=,3,29,female,3,20141029
NfV8Gl54iy5fpys7ZujCbnx5ce4acyIpHGqGv/HuBZY=,1,0,,9,20141029
ockS2eg3ue+VK8lfgVUCVdiXCaYxz0y2DKPpFeg9Yss=,5,18,male,3,20141029
7kYz4FKTf33wjlpJVi8eIvo/vXWqP9KG8impJOIOdYc=,1,0,,9,20141029
76Nalocc1L2Bwz2kqfGN+xoX9dCEgmLOnno6GOSeznE=,4,0,male,3,20141029
3u8OJ0GQHEv9A7iSp3j3qqeNDQ1M4czOMD5fCz4MhdQ=,4,44,male,3,20141029
otOg4IKK45vsQnInYaW9NdeVHGputtvvJ8Skcw07dK4=,22,46,male,3,20141029
iiO5+JTvFuXPyvySqq5QXgRvLRGRHiUncAsRw5rI9V0=,1,0,,9,20141029
IPeuEBtPPLzkAxiiiH42F0U9clETCH1QA7YsRfLH/vY=,4,27,male,9,20141029
XjGenqe5PGuVmZZkMAbozJcwgulR+SmOLpy+Cto7qdo=,11,21,male,3,20141029
NhEhcPY4SYob0CBrFz/MKkEDpO0c3Rt+hj9rEydzM2I=,1,0,male,3,20141029
KDyW07f0jX10fmY4IwSznlA0t3joGgtBdyHJo62DcgI=,22,24,female,3,20141029
fkLgfIOX0bWM9/BQQChOCDzoos23szsckxPvxrBbtmY=,4,20,female,9,20141029
nyx+9IfUDDi0rgFk0aDi8vetMaiXotVjizLU7AYpd3g=,1,0,,9,20141029
XOOWJMFya6Ow25ifsgToKHXFTrU08jmnsMUQWo7unXo=,1,0,male,3,20141029
6yphyTmC295tgoBwvFyeWDj8LyglMyZdfyEgqGiijTk=,15,0,,9,20141029
9/JSirQ9Q7fRm3tXH+6VnaW1PTY0qpJdFtxk5mcM3GM=,5,35,female,3,20141029
D7H/0hAcl4XEf3xthKTP3qY1W6wrLXyBOzDibmlNEpE=,12,0,male,3,20141030
dIw6JHZ77od2qh8l+TA415S8+gdgNU0nlZ80UyMUPSc=,22,57,female,3,20141030
afKxxA+s9qnH8l/HgjPKJ0modJnMkufxT8qGWZvkkPQ=,1,25,female,3,20141030
AnleWNsLtbZWbDViNdTGAC+Rm16MZsdW4br37JG6jEY=,14,0,male,3,20141030
iV2URoj489j2qNemnHdge5J9tFENNYsqO2+3dGMmxRo=,1,40,female,3,20141030
GlQeqvdocPnID3zwmOeiKN/dUN4GkOC+NGOIfjAZsao=,5,23,male,3,20141030
b9qIGAzqA6MzviSatNNQdwD/HvHnMF91Hdc7dVSqoaY=,5,43,male,3,20141030
XcDikmVAl+herq+M/9n2KP0SWLqGhg1plikILqrJOis=,5,30,female,9,20141030
u97KhuTWskkXjQ4MEbhTRAMcyTjoZHiNl6jxNqsKlQU=,1,0,,9,20141030
qge5uqu/3bGIfK2SVRGQd/9am6C/a4SaZD3W3fx6J5E=,1,0,female,3,20141030
z8v9sSNl8REns/reD+lZVKA6aXrFsx+DNRzqugQXOyA=,1,20,male,3,20141030
EF8azYOjk2Y8Dcru9DcDUGnmY7+MztSf+/Td8LabOkQ=,1,0,,9,20141030
lrbRHcFjAKoKUF5J4ZgRMQneba08aiDcPefSXqQBgvI=,22,0,,7,20141030
A8Ox/yExWBNwdk1dmBU4EzdLN/Jjo3m9cPFqiW5wBNk=,1,0,,7,20141031
7OzqZ0a6uco74DzSiQ5vr4v9+8qwSOmYIwepLooDwkQ=,5,29,male,3,20141031
ymrPghF9JWm8sVHLf1VbC+8YckdXaCVwAbW0qZZD/rs=,11,27,male,3,20141031
Ku3HBAcrX+pmtOFGMb7O3BmOIg8y9AiQ5ad26XHGDng=,22,0,male,3,20141031
6vpbVviKtn963/f75rcvQY+BKwzhm+HMNO1eFKohCDM=,5,24,male,3,20141031
